date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:14	142475/142475	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2016:13:14%20GMT	https://www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539	C:/My%20Web%20Sites/mint/www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539.html	(from )
12:13:14	102/102	---MCZ	200	added ('OK')	text/plain	etag:W/%227f-1807d7e639e%22	https://www.genfty.com/robots.txt		(from )
12:13:15	28136/28136	---MC-	200	added ('OK')	image/png	date:Sun,%2019%20Mar%202023%2016:13:15%20GMT	https://drawever.b-cdn.net/genfty/icon.png	C:/My%20Web%20Sites/mint/drawever.b-cdn.net/genfty/icon.png	(from https://www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539)
12:13:15	22121/22121	---M--	200	added ('OK')	text/javascript	date:Thu,%2019%20Aug%202021%2020:25:44%20GMT	https://www.gstatic.com/firebasejs/8.10.0/firebase-app.js	C:/My%20Web%20Sites/mint/www.gstatic.com/firebasejs/8.10.0/firebase-app.js	(from https://www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539)
12:13:16	187743/187743	---M--	200	added ('OK')	text/javascript	date:Thu,%2019%20Aug%202021%2020:25:40%20GMT	https://www.gstatic.com/firebasejs/8.10.0/firebase-database.js	C:/My%20Web%20Sites/mint/www.gstatic.com/firebasejs/8.10.0/firebase-database.js	(from https://www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539)
12:13:16	2693/2693	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a85-186e107c26f%22	https://www.genfty.com/_nuxt/608d9f7.js	C:/My%20Web%20Sites/mint/www.genfty.com/_nuxt/608d9f7.js	(from https://www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539)
12:13:17	216056/216056	---M-Z	200	added ('OK')	application/javascript	etag:%226412d54e-142cc%22	https://mc.yandex.ru/metrika/tag.js	C:/My%20Web%20Sites/mint/mc.yandex.ru/metrika/tag.js	(from https://www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539)
12:13:17	231609/231609	---MCZ	200	added ('OK')	application/javascript	etag:W/%22388b9-186e107c267%22	https://www.genfty.com/_nuxt/af9d110.js	C:/My%20Web%20Sites/mint/www.genfty.com/_nuxt/af9d110.js	(from https://www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539)
12:13:17	197473/197473	---MCZ	200	added ('OK')	application/javascript	etag:W/%2230361-186e107c26f%22	https://www.genfty.com/_nuxt/b8dccb2.js	C:/My%20Web%20Sites/mint/www.genfty.com/_nuxt/b8dccb2.js	(from https://www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539)
12:13:17	108565/108565	---MCZ	200	added ('OK')	application/javascript	etag:W/%221a815-186e107c267%22	https://www.genfty.com/_nuxt/15d7c06.js	C:/My%20Web%20Sites/mint/www.genfty.com/_nuxt/15d7c06.js	(from https://www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539)
12:13:17	15068/15068	---MCZ	200	added ('OK')	application/javascript	etag:W/%223adc-186e107c26f%22	https://www.genfty.com/_nuxt/74d72fc.js	C:/My%20Web%20Sites/mint/www.genfty.com/_nuxt/74d72fc.js	(from https://www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539)
12:13:18	2051246/2051246	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f4cae-186e107c267%22	https://www.genfty.com/_nuxt/bd3a776.js	C:/My%20Web%20Sites/mint/www.genfty.com/_nuxt/bd3a776.js	(from https://www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539)
12:13:20	57213/57213	---M--	200	added ('OK')	image/jpeg	etag:%22bafkreiadgpv2lwke6xkss43otzi6k246vefxoaadv6clibbawcyeymrudm%22	https://bafybeianqc6hbhbjejh2dvww6bb2srbu37kyf5uuzs7ztflsfpiwkz5vha.ipfs.w3s.link/1.png	C:/My%20Web%20Sites/mint/bafybeianqc6hbhbjejh2dvww6bb2srbu37kyf5uuzs7ztflsfpiwkz5vha.ipfs.w3s.link/1.jpg	(from https://www.genfty.com/collection/0x3aC22795304A27edb04Cfe2475DCEf0c5C8B5539)
